index,X,Y,FID,FEATURE_ID,NAME,ADDRESS,ADDRESS2,ADDRESS3,CITY,STATE,ZIP,COUNTY,PHONE,LATITUDE,LONGITUDE,MATCHSTATU,PLACEMENT,CENSUSCODE,BUSINESSNA,cluster
220,-77.48134099,37.55347802,4221,27198,The UPS Store,3126 W Cary St, , ,Richmond,VA,23221,Richmond City,804-254-2902,37.553478,-77.481341,OK, ,517600409001018, ,3
245,-77.60312498,37.50851101,4246,27234,UPS Alliance Location,1248 Car Mia Way, , ,Richmond,VA,23235,Chesterfield,804-897-2988,37.508511,-77.603125,OK, ,510411009201016,Staples Aso 00854,3
267,-77.57959202,37.50652999,4268,27243,Authorized Shipping Outlet,9992 Robious Rd, , ,Richmond,VA,23235,Chesterfield,804-330-4018,37.50653,-77.579592,OK, ,510411009071001,Packaging Store,3
285,-77.45858002,37.63127298,4286,27250,Authorized Shipping Outlet,7901 Brook Rd, , ,Richmond,VA,23227,Henrico,804-261-1982,37.631273,-77.45858,OK, ,510872009032026,Wal-Mart Pbc Store Number2295,3
380,-77.50150701,37.37241098,4381,27477,Authorized Shipping Outlet,10326 Iron Bridge Rd, , ,Chester,VA,23831,Chesterfield,804-748-3759,37.372411,-77.501507,OK, ,510411008112008,Package Express & Bus Svcs Llc,3
411,-77.65370302,37.40924602,4412,26854,Authorized Shipping Outlet,13618 Hull St Rd, , ,Midlothian,VA,23112,Chesterfield,804-739-0502,37.409246,-77.653703,OK, ,510411010073004,Parcel Plus Store Number080,3
414,-77.64198899,37.502617,4415,26855,The UPS Store,13146 Midlothian Tpke, , ,Midlothian,VA,23113,Chesterfield,804-379-7608,37.502617,-77.641989,OK, ,510411009151003, ,3
417,-77.61324098,37.64950699,4418,26860,The UPS Store,3420 Pump Rd, , ,Richmond,VA,23233,Henrico,804-360-0189,37.649507,-77.613241,OK, ,510872001212000, ,3
441,-77.883536,37.69755301,4442,26946,Authorized Shipping Outlet,2726 Fairgrounds Rd, , ,Goochland,VA,23063,Goochland,804-556-9188,37.697553,-77.883536,OK, ,510754004001036,Ez Ship,3
448,-78.46372399,37.07086299,4449,27015,UPS Customer Center,3900 Horseshoe Bend Rd, , ,Keysville,VA,23947,Charlotte,800-742-5877,37.070863,-78.463724,Zip Centroid,\nPlacement: Zip Centroid,510379901001055,Staffed Location,5
461,-78.83605199,37.354102,4462,29055,Authorized Shipping Outlet,835 Lee Grant Ave, , ,Appomattox,VA,24522,Appomattox,434-352-0231,37.354102,-78.836052,OK, ,510110401003034,Appomattox Shipping Center Llc,5
467,-79.06938499,38.13794199,4468,21341,The UPS Store,644 Greenville Ave, , ,Staunton,VA,24401,Staunton City,540-885-6245,38.137942,-79.069385,OK, ,517900006004001, ,4
478,-77.61255001,37.65044999,4479,26989,UPS Alliance Location,3540 Pump Rd, , ,Richmond,VA,23233,Henrico,804-364-2441,37.65045,-77.61255,OK, ,510872001212000,Staples Aso 01290,3
480,-77.613288,37.50887599,4481,26990,UPS Alliance Location,1250 Huguenot Rd, , ,Midlothian,VA,23113,Chesterfield,804-594-7039,37.508876,-77.613288,OK, ,510411009152033,Office Depot/Copy Center,3
503,-78.93712598,38.063661,4504,21399,The UPS Store,105 Lew Dewitt Blvd, , ,Waynesboro,VA,22980,Waynesboro City,540-932-1000,38.063661,-78.937126,OK, ,518200035004002, ,4
514,-77.495806,38.24567802,4515,25847,Authorized Shipping Outlet,10697 Spotsylvania Ave, , ,Fredericksburg,VA,22408,Spotsylvania,540-710-5707,38.245678,-77.495806,OK, ,511770202005027,Copy Center Plus Inc,7
516,-79.06586299,38.14038699,4517,26781,UPS Alliance Location,850 Statler Blvd, , ,Staunton,VA,24401,Staunton City,540-886-9710,38.140387,-79.065863,OK, ,517900006002000,Staples Aso 00671,4
